location_project,demo_category,season,total_season_days,total_duration,density_km2
1024-SW_ABMI Ecosystem Health 2015,Moose Adult Female,winter,50,0,0
1024-SW_ABMI Ecosystem Health 2015,Moose Adult Male,summer,86,0,0
1024-SW_ABMI Ecosystem Health 2015,Moose Adult Male,winter,50,0,0
1024-SW_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,86,0,0
1024-SW_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,50,0,0
1024-SW_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,86,0,0
1024-SW_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,50,0,0
1056-NE_ABMI Ecosystem Health 2015,Moose Adult Female,summer,88,380.5310033521931,3.3826710109091396
1056-NE_ABMI Ecosystem Health 2015,Moose Adult Female,winter,52,0,0
1056-NE_ABMI Ecosystem Health 2015,Moose Adult Male,summer,88,561.5969496111517,4.99222850314358
1056-NE_ABMI Ecosystem Health 2015,Moose Adult Male,winter,52,0,0
1056-NE_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,88,6.531003352193115,0.05805633579655275
1056-NE_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,52,0,0
1056-NE_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,88,0,0
1056-NE_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,52,0,0
1056-NW_ABMI Ecosystem Health 2015,Moose Adult Female,summer,45,0,0
1056-NW_ABMI Ecosystem Health 2015,Moose Adult Female,winter,52,0,0
1056-NW_ABMI Ecosystem Health 2015,Moose Adult Male,summer,45,0,0
1056-NW_ABMI Ecosystem Health 2015,Moose Adult Male,winter,52,0,0
1056-NW_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,45,18.531003352193114,0.3221356637347021
1056-NW_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,52,0,0
1056-NW_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,45,0,0
1056-NW_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,52,0,0
1056-SE_ABMI Ecosystem Health 2015,Moose Adult Female,summer,88,89.56200670438622,0.7961474915024981
1056-SE_ABMI Ecosystem Health 2015,Moose Adult Female,winter,52,0,0
1056-SE_ABMI Ecosystem Health 2015,Moose Adult Male,summer,88,0,0
1056-SE_ABMI Ecosystem Health 2015,Moose Adult Male,winter,52,0,0
1056-SE_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,88,0,0
1056-SE_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,52,0,0
1056-SE_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,88,0,0
1056-SE_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,52,0,0
1056-SW_ABMI Ecosystem Health 2015,Moose Adult Female,summer,88,264.06200670438625,2.3686458167870854
1056-SW_ABMI Ecosystem Health 2015,Moose Adult Female,winter,52,121.53100335219311,1.8430152153513022
1056-SW_ABMI Ecosystem Health 2015,Moose Adult Male,summer,88,0,0
1056-SW_ABMI Ecosystem Health 2015,Moose Adult Male,winter,52,37.062006704386235,0.5620445843739772
1056-SW_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,88,216.8585117326759,1.945228747827067
1056-SW_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,52,149.06200670438622,2.2605223260672114
1056-SW_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,88,0,0
1056-SW_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,52,0,0
1057-NE_ABMI Ecosystem Health 2015,Moose Adult Female,summer,87,782.1065385502209,7.032326911603983
1057-NE_ABMI Ecosystem Health 2015,Moose Adult Female,winter,49,0,0
1057-NE_ABMI Ecosystem Health 2015,Moose Adult Male,summer,87,1477.8410368741243,13.288037859838584
1057-NE_ABMI Ecosystem Health 2015,Moose Adult Male,winter,49,0,0
1057-NE_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,87,100.34103687412426,0.9022184819681589
1057-NE_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,49,26.59301005657934,0.42411770368887625
1057-NE_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,87,0,0
1057-NE_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,49,0,0
1057-NW_ABMI Ecosystem Health 2015,Moose Adult Female,summer,87,74.53100335219311,0.6701470385275636
1057-NW_ABMI Ecosystem Health 2015,Moose Adult Female,winter,49,115.53100335219311,1.8425422222739805
1057-NW_ABMI Ecosystem Health 2015,Moose Adult Male,summer,87,678.1860201131587,6.097923448071421
1057-NW_ABMI Ecosystem Health 2015,Moose Adult Male,winter,49,2.2655016760965574,0.036131275343599244
1057-NW_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,87,0,0
1057-NW_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,49,0,0
1057-NW_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,87,0,0
1057-NW_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,49,89.79650502828967,1.4321164633434362
1057-SE_ABMI Ecosystem Health 2015,Moose Adult Female,summer,87,95.32750838048278,0.8571392381438031
1057-SE_ABMI Ecosystem Health 2015,Moose Adult Female,winter,49,0,0
1057-SE_ABMI Ecosystem Health 2015,Moose Adult Male,summer,87,210.8585117326759,1.8959386138711396
1057-SE_ABMI Ecosystem Health 2015,Moose Adult Male,winter,49,0,0
1057-SE_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,87,8.796505028289673,0.07909395458215958
1057-SE_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,49,0,0
1057-SE_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,87,0,0
1057-SE_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,49,0,0
